Datetime, D6063059, 1stStgSens, Tube, Null, 2ndStgHeat, 1stStgHeat, AIO 1, AIO 2, AIO 3, AIO 4, DIO, Relays, V1, V2, V3
10:39:19.985 AM 2/13/2018 , 287.9017, 280.9109, 314.3081, NaN, 0.950483, 32.98261, 0.416464, 0.412565, 0.410025, 0.937736, 0, 0, 288.6640, 282.1254, NaN 
10:39:20.986 AM 2/13/2018 , 287.7240, 280.6354, 314.6499, NaN, 0.950865, 32.98155, 0.416504, 0.412598, 0.410070, 0.937718, 0, 0, 288.4826, 281.8360, NaN 
10:39:21.988 AM 2/13/2018 , 287.5419, 280.3631, 314.9909, NaN, 0.950775, 32.98155, 0.416477, 0.412564, 0.410028, 0.937713, 0, 0, 288.3014, 281.5469, NaN 
10:39:22.989 AM 2/13/2018 , 287.3635, 280.0938, 315.3316, NaN, 0.950867, 32.98151, 0.416466, 0.412558, 0.410020, 0.937665, 0, 0, 288.1205, 281.2601, NaN 
10:39:23.980 AM 2/13/2018 , 287.1861, 279.8255, 315.6734, NaN, 0.950690, 32.98248, 0.416474, 0.412562, 0.410016, 0.937731, 0, 0, 287.9399, 280.9772, NaN 
10:39:24.982 AM 2/13/2018 , 287.0060, 279.5558, 316.0150, NaN, 0.950866, 32.98250, 0.416471, 0.412572, 0.410026, 0.937692, 0, 0, 287.7597, 280.6985, NaN 
10:39:25.993 AM 2/13/2018 , 286.8285, 279.2883, 316.3560, NaN, 0.950773, 32.98142, 0.416432, 0.412544, 0.409992, 0.937618, 0, 0, 287.5798, 280.4235, NaN 
10:39:26.995 AM 2/13/2018 , 286.6481, 279.0225, 316.6982, NaN, 0.950862, 32.98147, 0.416472, 0.412568, 0.410026, 0.937639, 0, 0, 287.4004, 280.1511, NaN 
10:39:27.996 AM 2/13/2018 , 286.4708, 278.7585, 317.0410, NaN, 0.950690, 32.98143, 0.416455, 0.412552, 0.410019, 0.937600, 0, 0, 287.2213, 279.8807, NaN 
10:39:28.998 AM 2/13/2018 , 286.2946, 278.4970, 317.3830, NaN, 0.950949, 32.98140, 0.416429, 0.412536, 0.409988, 0.937642, 0, 0, 287.0423, 279.6117, NaN 
10:39:29.989 AM 2/13/2018 , 286.1161, 278.2336, 317.7256, NaN, 0.950599, 32.98427, 0.416429, 0.412524, 0.409987, 0.937575, 0, 0, 286.8636, 279.3443, NaN 
10:39:30.991 AM 2/13/2018 , 285.9375, 277.9682, 318.0675, NaN, 0.950781, 32.98235, 0.416396, 0.412503, 0.409946, 0.937544, 0, 0, 286.6852, 279.0784, NaN 
10:39:31.992 AM 2/13/2018 , 285.7624, 277.6968, 318.4096, NaN, 0.950865, 32.98239, 0.416358, 0.412452, 0.409913, 0.937516, 0, 0, 286.5070, 278.8137, NaN 
10:39:32.993 AM 2/13/2018 , 285.5841, 277.4222, 318.7512, NaN, 0.950866, 32.98130, 0.416412, 0.412509, 0.409968, 0.937658, 0, 0, 286.3291, 278.5493, NaN 
10:39:33.995 AM 2/13/2018 , 285.4089, 277.1513, 319.0909, NaN, 0.950686, 32.98031, 0.416373, 0.412470, 0.409937, 0.937686, 0, 0, 286.1514, 278.2839, NaN 
10:39:34.996 AM 2/13/2018 , 285.2327, 276.8866, 319.4330, NaN, 0.950561, 32.98136, 0.416395, 0.412496, 0.409949, 0.937643, 0, 0, 285.9740, 278.0164, NaN 
10:39:35.998 AM 2/13/2018 , 285.0532, 276.6278, 319.7735, NaN, 0.950686, 32.98220, 0.416419, 0.412512, 0.409967, 0.937737, 0, 0, 285.7968, 277.7471, NaN 
10:39:36.999 AM 2/13/2018 , 284.8780, 276.3716, 320.1136, NaN, 0.950686, 32.98223, 0.416419, 0.412522, 0.409973, 0.937746, 0, 0, 285.6198, 277.4778, NaN 
10:39:38.011 AM 2/13/2018 , 284.7018, 276.1179, 320.4547, NaN, 0.950865, 32.98019, 0.416388, 0.412480, 0.409939, 0.937779, 0, 0, 285.4429, 277.2103, NaN 
10:39:39.012 AM 2/13/2018 , 284.5271, 275.8638, 320.7953, NaN, 0.950775, 32.98022, 0.416404, 0.412499, 0.409952, 0.937787, 0, 0, 285.2662, 276.9460, NaN 
10:39:40.014 AM 2/13/2018 , 284.3528, 275.6102, 321.1335, NaN, 0.950697, 32.98020, 0.416347, 0.412454, 0.409925, 0.937783, 0, 0, 285.0898, 276.6851, NaN 
10:39:41.005 AM 2/13/2018 , 284.1763, 275.3571, 321.4727, NaN, 0.950478, 32.98206, 0.416381, 0.412488, 0.409953, 0.937748, 0, 0, 284.9138, 276.4270, NaN 
10:39:42.006 AM 2/13/2018 , 284.0025, 275.1044, 321.8107, NaN, 0.950478, 32.98217, 0.416371, 0.412472, 0.409933, 0.937775, 0, 0, 284.7381, 276.1708, NaN 
10:39:43.008 AM 2/13/2018 , 283.8276, 274.8535, 322.1471, NaN, 0.950476, 32.98112, 0.416343, 0.412451, 0.409909, 0.937706, 0, 0, 284.5626, 275.9159, NaN 
10:39:44.009 AM 2/13/2018 , 283.6528, 274.6045, 322.4811, NaN, 0.950862, 32.98109, 0.416342, 0.412446, 0.409901, 0.937671, 0, 0, 284.3873, 275.6619, NaN 
10:39:45.011 AM 2/13/2018 , 283.4762, 274.3554, 322.8150, NaN, 0.950958, 32.98097, 0.416327, 0.412429, 0.409892, 0.937664, 0, 0, 284.2121, 275.4088, NaN 
10:39:46.012 AM 2/13/2018 , 283.3019, 274.1045, 323.1471, NaN, 0.951044, 32.98110, 0.416324, 0.412442, 0.409899, 0.937553, 0, 0, 284.0371, 275.1568, NaN 
